Model trained with Majority Vote data (crowd source)
-------------------------------------
Accuracy of the model   : 53.35
F1 Score                : 59.48
Probabilities : 
0.465 0.535
0.377 0.623
0.591 0.409
0.733 0.267
0.465 0.535
0.465 0.535
0.412 0.588
0.733 0.267
0.132 0.868
0.000 1.000
0.465 0.535
0.000 1.000
0.000 1.000
0.412 0.588
0.377 0.623
0.733 0.267
0.377 0.623
0.591 0.409
0.591 0.409
0.733 0.267
0.591 0.409
0.377 0.623
0.733 0.267
0.000 1.000
0.733 0.267
0.867 0.133
0.377 0.623
0.412 0.588
0.591 0.409
0.132 0.868
0.377 0.623
0.132 0.868
0.465 0.535
0.733 0.267
0.412 0.588
0.000 1.000
0.132 0.868
0.412 0.588
0.591 0.409
1.000 0.000
0.733 0.267
0.591 0.409
0.412 0.588
0.132 0.868
0.465 0.535
0.465 0.535
0.377 0.623
0.465 0.535
0.377 0.623
0.000 1.000
0.465 0.535
0.412 0.588
0.377 0.623
0.591 0.409
0.377 0.623
0.132 0.868
0.132 0.868
0.000 1.000
0.377 0.623
0.377 0.623
0.867 0.133
0.412 0.588
0.733 0.267
0.132 0.868
0.412 0.588
0.000 1.000
0.412 0.588
0.733 0.267
0.377 0.623
0.412 0.588
0.000 1.000
0.465 0.535
0.377 0.623
0.465 0.535
0.377 0.623
0.591 0.409
0.412 0.588
0.465 0.535
0.412 0.588
0.591 0.409
0.867 0.133
0.132 0.868
0.132 0.868
0.000 1.000
0.867 0.133
0.377 0.623
0.377 0.623
0.465 0.535
0.377 0.623
0.132 0.868
0.465 0.535
0.412 0.588
0.900 0.100
0.867 0.133
0.377 0.623
0.591 0.409
0.465 0.535
0.733 0.267
0.132 0.868
0.465 0.535
0.377 0.623
0.591 0.409
0.412 0.588
0.465 0.535
0.412 0.588
0.412 0.588
0.867 0.133
0.733 0.267
0.412 0.588
0.733 0.267
0.465 0.535
0.733 0.267
0.132 0.868
0.377 0.623
0.465 0.535
0.132 0.868
0.377 0.623
0.465 0.535
0.377 0.623
0.733 0.267
0.591 0.409
0.412 0.588
0.591 0.409
0.465 0.535
0.412 0.588
0.377 0.623
0.412 0.588
0.412 0.588
0.132 0.868
0.377 0.623
0.733 0.267
0.377 0.623
0.412 0.588
0.867 0.133
0.412 0.588
0.377 0.623
0.867 0.133
0.412 0.588
0.867 0.133
0.465 0.535
0.132 0.868
0.465 0.535
0.733 0.267
0.900 0.100
0.377 0.623
0.377 0.623
0.377 0.623
0.412 0.588
0.000 1.000
0.591 0.409
0.377 0.623
0.377 0.623
0.412 0.588
0.867 0.133
0.867 0.133
0.465 0.535
0.000 1.000
0.377 0.623
0.867 0.133
0.867 0.133
0.000 1.000
0.733 0.267
0.733 0.267
0.733 0.267
0.377 0.623
0.733 0.267
0.377 0.623
0.377 0.623
0.412 0.588
0.412 0.588
0.132 0.868
0.000 1.000
0.377 0.623
0.000 1.000
0.377 0.623
0.377 0.623
0.591 0.409
0.733 0.267
0.591 0.409
0.000 1.000
0.132 0.868
0.377 0.623
0.377 0.623
0.412 0.588
0.377 0.623
0.000 1.000
0.377 0.623
0.591 0.409
0.412 0.588
0.591 0.409
0.132 0.868
0.465 0.535
0.900 0.100
0.412 0.588
0.377 0.623
0.733 0.267
0.000 1.000
0.591 0.409
0.412 0.588
0.591 0.409
0.000 1.000
0.412 0.588
0.132 0.868
0.867 0.133
0.000 1.000
0.412 0.588
0.465 0.535
1.000 0.000
0.733 0.267
0.412 0.588
0.733 0.267
0.412 0.588
0.591 0.409
0.733 0.267
0.412 0.588
0.465 0.535
0.591 0.409
0.465 0.535
0.733 0.267
0.591 0.409
0.591 0.409
0.465 0.535
0.412 0.588
0.867 0.133
0.412 0.588
0.377 0.623
0.132 0.868
0.132 0.868
0.377 0.623
0.000 1.000
0.733 0.267
0.377 0.623
0.591 0.409
0.377 0.623
0.733 0.267
0.591 0.409
0.000 1.000
0.377 0.623
0.465 0.535
0.591 0.409
0.465 0.535
0.132 0.868
1.000 0.000
0.733 0.267
0.377 0.623
0.867 0.133
0.465 0.535
0.733 0.267
1.000 0.000
0.412 0.588
0.867 0.133
0.867 0.133
0.377 0.623
0.132 0.868
0.377 0.623
0.867 0.133
0.132 0.868
0.591 0.409
0.377 0.623
0.867 0.133
0.412 0.588
0.412 0.588
0.377 0.623
0.412 0.588
0.900 0.100
0.412 0.588
0.900 0.100
0.412 0.588
0.591 0.409
0.867 0.133
0.591 0.409
0.377 0.623
0.412 0.588
0.412 0.588
0.465 0.535
0.867 0.133
0.867 0.133
0.412 0.588
0.733 0.267
0.377 0.623
0.733 0.267
0.591 0.409
0.465 0.535
0.733 0.267
0.591 0.409
0.900 0.100
0.733 0.267
0.412 0.588
0.867 0.133
0.377 0.623
0.465 0.535
0.591 0.409
0.733 0.267
0.412 0.588
0.591 0.409
0.132 0.868
0.000 1.000
0.412 0.588
0.412 0.588
0.377 0.623
0.000 1.000
0.377 0.623
0.132 0.868
0.000 1.000
0.591 0.409
0.867 0.133
0.412 0.588
0.000 1.000
1.000 0.000
0.377 0.623
0.733 0.267
0.377 0.623
0.377 0.623
0.465 0.535
0.132 0.868
0.377 0.623
0.412 0.588
0.412 0.588
0.591 0.409
0.867 0.133
0.132 0.868
0.377 0.623
0.465 0.535
0.000 1.000
0.412 0.588
0.465 0.535
0.591 0.409
0.412 0.588
0.377 0.623
0.733 0.267
0.377 0.623
0.000 1.000
0.412 0.588
0.132 0.868
0.132 0.868
0.591 0.409
0.733 0.267
0.412 0.588
0.000 1.000
0.132 0.868
0.733 0.267
0.377 0.623
0.733 0.267
0.733 0.267
0.412 0.588
0.132 0.868
0.412 0.588
0.377 0.623
0.132 0.868
0.591 0.409
0.000 1.000
0.132 0.868
0.132 0.868
0.867 0.133
0.733 0.267
0.465 0.535
0.733 0.267
0.465 0.535
0.000 1.000
0.591 0.409
0.465 0.535
0.377 0.623
1.000 0.000
0.132 0.868
0.000 1.000
0.132 0.868
0.377 0.623
1.000 0.000
0.867 0.133
0.465 0.535
0.377 0.623
0.377 0.623
0.000 1.000
0.591 0.409
0.733 0.267
0.591 0.409
0.132 0.868
0.465 0.535
0.377 0.623
0.132 0.868
0.132 0.868
0.412 0.588
0.591 0.409
0.132 0.868
0.867 0.133
0.377 0.623
0.377 0.623
0.377 0.623
0.000 1.000
0.377 0.623
0.377 0.623
0.733 0.267
0.377 0.623
1.000 0.000
0.591 0.409
0.412 0.588
0.377 0.623
0.000 1.000
0.465 0.535
0.377 0.623
0.132 0.868
0.591 0.409
0.377 0.623
0.591 0.409
0.412 0.588
0.591 0.409
0.867 0.133
0.867 0.133
1.000 0.000
0.000 1.000
0.377 0.623
0.412 0.588
0.591 0.409
0.000 1.000
0.000 1.000
0.591 0.409
1.000 0.000
0.867 0.133
0.465 0.535
0.465 0.535
1.000 0.000
0.733 0.267
0.591 0.409
0.377 0.623
0.377 0.623
0.733 0.267
0.465 0.535
1.000 0.000
0.867 0.133
0.733 0.267
0.465 0.535
0.465 0.535
0.733 0.267
0.465 0.535
0.132 0.868
0.733 0.267
0.377 0.623
0.412 0.588
0.377 0.623
0.465 0.535
0.867 0.133
0.867 0.133
0.900 0.100
0.412 0.588
0.412 0.588
0.000 1.000
0.591 0.409
0.377 0.623
0.412 0.588
0.867 0.133
0.377 0.623
0.412 0.588
0.000 1.000
0.132 0.868
0.412 0.588
0.377 0.623
0.132 0.868
0.733 0.267
0.000 1.000
0.377 0.623
0.465 0.535
0.132 0.868
0.733 0.267
0.412 0.588
0.465 0.535
0.465 0.535
0.867 0.133
0.465 0.535
0.591 0.409
0.000 1.000
0.412 0.588
0.465 0.535
0.377 0.623
0.377 0.623
0.000 1.000
0.867 0.133
0.900 0.100
0.733 0.267
0.900 0.100
0.412 0.588
0.867 0.133
0.132 0.868
0.412 0.588
0.000 1.000
0.465 0.535
0.867 0.133
0.132 0.868
0.000 1.000
0.377 0.623
0.591 0.409
0.733 0.267
0.465 0.535
0.132 0.868
0.377 0.623
1.000 0.000
0.867 0.133
0.867 0.133
0.412 0.588
0.377 0.623
0.412 0.588
1.000 0.000
0.377 0.623
1.000 0.000
0.867 0.133
0.867 0.133
0.867 0.133
0.377 0.623
0.377 0.623
0.377 0.623
0.465 0.535
0.377 0.623
0.132 0.868
0.465 0.535
0.377 0.623
0.132 0.868
0.733 0.267
0.465 0.535
0.000 1.000
0.667 0.333
0.733 0.267
0.412 0.588
0.733 0.267
0.132 0.868
0.867 0.133
0.377 0.623
0.591 0.409
0.132 0.868
0.377 0.623
0.465 0.535
0.377 0.623
0.000 1.000
0.132 0.868
0.733 0.267
0.465 0.535
0.412 0.588
0.733 0.267
0.591 0.409
0.377 0.623
0.000 1.000
0.465 0.535
0.132 0.868
0.412 0.588
0.591 0.409
0.377 0.623
0.465 0.535
0.000 1.000
0.377 0.623
0.733 0.267
0.591 0.409
0.867 0.133
0.377 0.623
0.000 1.000
0.412 0.588
0.412 0.588
0.377 0.623
0.867 0.133
0.412 0.588
0.377 0.623
0.465 0.535
0.591 0.409
0.000 1.000
0.377 0.623
0.412 0.588
0.377 0.623
0.591 0.409
0.591 0.409
0.733 0.267
0.733 0.267
0.733 0.267
0.867 0.133
0.000 1.000
0.465 0.535
0.591 0.409
0.132 0.868
0.132 0.868
0.591 0.409
0.132 0.868
0.377 0.623
0.465 0.535
0.132 0.868
0.412 0.588
0.900 0.100
0.132 0.868
0.377 0.623
0.591 0.409
0.000 1.000
0.412 0.588
0.465 0.535
0.900 0.100
0.867 0.133
0.412 0.588
0.132 0.868
0.465 0.535
0.465 0.535
0.377 0.623
0.412 0.588
0.591 0.409
0.591 0.409
0.132 0.868
0.465 0.535
0.867 0.133
0.733 0.267
0.377 0.623
0.867 0.133
0.465 0.535
0.867 0.133
0.412 0.588
0.733 0.267
0.733 0.267
0.132 0.868
0.591 0.409
0.412 0.588
0.733 0.267
0.377 0.623
0.867 0.133
0.132 0.868
0.377 0.623
0.377 0.623
0.591 0.409
0.377 0.623
0.591 0.409
0.867 0.133
0.733 0.267
0.867 0.133
0.412 0.588
0.465 0.535
0.465 0.535
0.412 0.588
0.465 0.535
0.465 0.535
0.733 0.267
0.591 0.409
0.591 0.409
0.465 0.535
0.591 0.409
0.733 0.267
0.132 0.868
0.412 0.588
0.377 0.623
0.000 1.000
0.465 0.535
0.465 0.535
1.000 0.000
0.867 0.133
0.412 0.588
0.733 0.267
0.900 0.100
0.750 0.250
0.377 0.623
0.377 0.623
0.412 0.588
0.412 0.588
0.000 1.000
0.412 0.588
0.412 0.588
0.412 0.588
0.000 1.000
0.000 1.000
0.733 0.267
0.000 1.000
0.465 0.535
0.465 0.535
0.412 0.588
0.000 1.000
0.000 1.000
0.733 0.267
0.377 0.623
0.465 0.535
0.000 1.000
0.132 0.868
1.000 0.000
0.733 0.267
0.377 0.623
1.000 0.000
0.867 0.133
0.000 1.000
0.412 0.588
0.412 0.588
0.733 0.267
0.377 0.623
0.733 0.267
0.465 0.535
0.377 0.623
0.867 0.133
0.465 0.535
0.000 1.000
1.000 0.000
0.377 0.623
0.465 0.535
0.412 0.588
0.132 0.868
0.132 0.868
0.377 0.623
0.465 0.535
0.412 0.588
0.867 0.133
0.465 0.535
0.132 0.868
1.000 0.000
0.733 0.267
0.465 0.535
0.733 0.267
0.132 0.868
0.733 0.267
0.733 0.267
0.000 1.000
0.377 0.623
0.377 0.623
0.465 0.535
0.377 0.623
0.465 0.535
0.412 0.588
0.000 1.000
0.377 0.623
0.000 1.000
0.377 0.623
0.377 0.623
0.377 0.623
0.412 0.588
0.132 0.868
0.377 0.623
0.867 0.133
0.132 0.868
0.591 0.409
0.377 0.623
0.465 0.535
0.733 0.267
0.377 0.623
0.000 1.000
0.591 0.409
0.000 1.000
0.733 0.267
0.000 1.000
0.377 0.623
0.377 0.623
0.377 0.623
0.465 0.535
0.591 0.409
0.750 0.250
0.377 0.623
0.867 0.133
0.377 0.623
1.000 0.000
0.591 0.409
0.591 0.409
0.000 1.000
0.867 0.133
0.867 0.133
0.591 0.409
0.465 0.535
0.412 0.588
0.591 0.409
0.591 0.409
0.000 1.000
0.591 0.409
0.867 0.133
0.412 0.588
0.591 0.409
0.733 0.267
0.377 0.623
0.377 0.623
0.465 0.535
0.733 0.267
0.733 0.267
0.465 0.535
0.377 0.623
0.412 0.588
0.000 1.000
0.412 0.588
0.377 0.623
0.000 1.000
0.412 0.588
0.867 0.133
0.867 0.133
0.733 0.267
0.000 1.000
0.465 0.535
0.412 0.588
0.465 0.535
0.867 0.133
0.377 0.623
0.465 0.535
0.867 0.133
0.000 1.000
0.412 0.588
0.132 0.868
0.412 0.588
1.000 0.000
0.000 1.000
0.377 0.623
0.412 0.588
0.000 1.000
0.591 0.409
1.000 0.000
0.412 0.588
0.900 0.100
0.591 0.409
0.591 0.409
0.412 0.588
0.733 0.267
0.867 0.133
0.733 0.267
0.591 0.409
0.412 0.588
0.377 0.623
0.377 0.623
0.900 0.100
0.000 1.000
0.733 0.267
0.132 0.868
0.000 1.000
0.465 0.535
0.377 0.623
0.733 0.267
0.377 0.623
0.867 0.133
0.132 0.868
0.377 0.623
0.000 1.000
0.591 0.409
0.412 0.588
0.132 0.868
0.000 1.000
0.733 0.267
0.412 0.588
0.900 0.100
0.412 0.588
0.867 0.133
0.591 0.409
0.465 0.535
0.377 0.623
0.867 0.133
0.132 0.868
0.733 0.267
0.132 0.868
0.132 0.868
0.867 0.133
0.412 0.588
0.377 0.623
0.465 0.535
0.465 0.535
0.000 1.000
0.132 0.868
0.465 0.535
0.412 0.588
0.900 0.100
0.465 0.535
0.465 0.535
0.591 0.409
0.377 0.623
0.132 0.868
0.591 0.409
0.591 0.409
0.867 0.133
0.000 1.000
0.465 0.535
0.591 0.409
0.465 0.535
0.412 0.588
0.000 1.000
0.591 0.409
0.412 0.588
0.412 0.588
0.465 0.535
0.591 0.409
0.465 0.535
0.377 0.623
0.377 0.623
0.377 0.623
0.377 0.623
0.377 0.623
0.412 0.588
0.412 0.588
0.377 0.623
0.377 0.623
0.000 1.000
0.000 1.000
0.000 1.000
0.000 1.000
0.591 0.409
0.867 0.133
0.132 0.868
0.377 0.623
0.000 1.000
0.000 1.000
0.465 0.535
0.733 0.267
0.000 1.000
0.465 0.535
0.377 0.623
0.377 0.623
0.465 0.535
0.412 0.588
0.000 1.000
0.377 0.623
0.465 0.535
0.900 0.100
0.000 1.000
0.377 0.623
0.377 0.623
0.591 0.409
0.132 0.868
0.733 0.267
0.132 0.868
0.377 0.623
0.867 0.133
0.000 1.000
0.377 0.623
0.733 0.267
0.867 0.133
0.591 0.409
0.867 0.133
0.867 0.133
0.465 0.535
0.377 0.623
0.000 1.000
0.000 1.000
0.377 0.623
0.000 1.000
0.591 0.409
0.000 1.000
0.465 0.535
0.412 0.588
0.733 0.267
0.377 0.623
0.412 0.588
0.000 1.000
0.733 0.267
0.591 0.409
0.377 0.623
0.867 0.133
0.377 0.623
0.377 0.623
0.132 0.868
0.465 0.535
0.377 0.623
0.465 0.535
0.867 0.133
0.412 0.588
0.733 0.267
0.377 0.623
0.465 0.535
0.591 0.409
0.465 0.535
0.591 0.409
0.412 0.588
0.412 0.588
1.000 0.000
0.591 0.409
0.412 0.588
0.733 0.267
0.412 0.588
0.377 0.623
0.465 0.535
0.867 0.133
0.000 1.000
0.867 0.133
0.591 0.409
0.733 0.267
0.132 0.868
0.591 0.409
0.867 0.133
0.132 0.868
0.377 0.623
0.377 0.623
0.591 0.409
0.377 0.623
0.465 0.535
0.412 0.588
0.867 0.133
0.377 0.623
0.412 0.588
0.412 0.588
0.000 1.000
1.000 0.000
0.000 1.000
0.377 0.623
0.000 1.000
0.412 0.588
0.591 0.409
0.412 0.588
0.412 0.588
0.465 0.535
0.465 0.535
0.465 0.535
0.000 1.000
0.000 1.000
0.377 0.623
0.591 0.409
0.412 0.588
0.000 1.000
0.465 0.535
0.377 0.623
0.412 0.588
0.412 0.588
0.412 0.588
0.465 0.535
0.377 0.623
0.591 0.409
0.465 0.535
1.000 0.000
0.733 0.267
0.412 0.588
0.412 0.588
0.377 0.623
0.412 0.588
0.377 0.623
0.412 0.588
0.377 0.623
0.867 0.133
0.000 1.000
0.867 0.133
0.465 0.535
0.465 0.535
0.132 0.868
0.377 0.623
0.465 0.535
0.591 0.409
0.465 0.535
0.733 0.267
0.591 0.409
0.377 0.623
0.000 1.000
0.412 0.588
1.000 0.000
0.412 0.588
0.733 0.267
0.377 0.623
0.733 0.267
0.412 0.588
0.000 1.000
0.900 0.100
0.377 0.623
0.377 0.623
0.377 0.623
0.465 0.535
0.591 0.409
0.000 1.000
0.900 0.100
0.733 0.267
0.733 0.267
0.377 0.623
0.412 0.588
0.591 0.409
0.465 0.535
0.412 0.588
0.377 0.623
0.412 0.588
0.591 0.409
0.591 0.409
0.591 0.409
0.377 0.623
0.132 0.868
0.377 0.623
0.733 0.267
0.377 0.623
0.377 0.623
0.412 0.588
0.465 0.535
0.000 1.000
0.591 0.409
0.733 0.267
0.733 0.267
0.867 0.133
0.733 0.267
0.377 0.623
0.377 0.623
0.591 0.409
0.465 0.535
0.377 0.623
0.591 0.409
0.412 0.588
0.000 1.000
0.465 0.535
0.867 0.133
0.412 0.588
0.132 0.868
0.000 1.000
0.412 0.588
0.465 0.535
0.591 0.409
0.412 0.588
0.412 0.588
0.377 0.623
0.412 0.588
0.591 0.409
0.465 0.535
0.132 0.868
0.132 0.868
0.733 0.267
0.900 0.100
0.000 1.000
0.465 0.535
0.867 0.133
0.412 0.588
0.867 0.133
0.412 0.588
0.412 0.588
0.591 0.409
0.465 0.535
0.412 0.588
0.733 0.267
0.465 0.535
0.000 1.000
0.465 0.535
0.465 0.535
0.000 1.000
0.465 0.535
0.733 0.267
0.591 0.409
0.412 0.588
0.377 0.623
0.377 0.623
0.465 0.535
0.591 0.409
0.465 0.535
0.591 0.409
0.132 0.868
0.412 0.588
0.412 0.588
0.733 0.267
0.465 0.535
0.900 0.100
0.733 0.267
0.132 0.868
1.000 0.000
0.377 0.623
0.591 0.409
0.465 0.535
0.000 1.000
1.000 0.000
0.465 0.535
0.412 0.588
0.377 0.623
0.377 0.623
0.000 1.000
0.412 0.588
0.412 0.588
0.377 0.623
0.465 0.535
0.733 0.267
0.465 0.535
0.412 0.588
0.000 1.000
0.733 0.267
0.591 0.409
0.733 0.267
0.377 0.623
0.377 0.623
0.377 0.623
0.733 0.267
0.377 0.623
0.377 0.623
0.591 0.409
0.591 0.409
0.465 0.535
0.377 0.623
0.377 0.623
0.591 0.409
0.132 0.868
0.377 0.623
0.465 0.535
0.733 0.267
0.867 0.133
0.377 0.623
0.900 0.100
0.733 0.267
0.465 0.535
0.377 0.623
0.132 0.868
0.591 0.409
0.132 0.868
0.591 0.409
0.377 0.623
0.377 0.623
0.867 0.133
0.733 0.267
0.377 0.623
0.465 0.535
0.412 0.588
0.412 0.588
0.132 0.868
0.412 0.588
0.000 1.000
0.591 0.409
0.465 0.535
0.377 0.623
0.591 0.409
0.733 0.267
0.377 0.623
0.465 0.535
0.867 0.133
0.377 0.623
0.591 0.409
0.412 0.588
1.000 0.000
0.412 0.588
0.733 0.267
0.377 0.623
0.465 0.535
0.377 0.623
0.377 0.623
0.412 0.588
0.591 0.409
0.867 0.133
0.733 0.267
0.591 0.409
0.000 1.000
0.000 1.000
0.733 0.267
0.000 1.000
0.733 0.267
0.412 0.588
0.591 0.409
0.867 0.133
0.000 1.000
0.591 0.409
0.377 0.623
0.377 0.623
0.465 0.535
0.867 0.133
0.377 0.623
0.132 0.868
0.000 1.000
0.377 0.623
0.733 0.267
0.900 0.100
0.000 1.000
0.465 0.535
0.733 0.267
0.465 0.535
0.412 0.588
0.377 0.623
0.377 0.623
0.000 1.000
0.377 0.623
0.412 0.588
0.465 0.535
0.000 1.000
0.733 0.267
0.465 0.535
0.412 0.588
0.867 0.133
0.867 0.133
0.412 0.588
0.377 0.623
0.412 0.588
0.900 0.100
1.000 0.000
1.000 0.000
0.591 0.409
0.377 0.623
0.412 0.588
0.000 1.000
0.867 0.133
0.377 0.623
0.733 0.267
0.465 0.535
0.465 0.535
0.000 1.000
0.465 0.535
0.465 0.535
0.377 0.623
0.465 0.535
0.867 0.133
0.867 0.133
0.377 0.623
0.900 0.100
0.000 1.000
0.900 0.100
0.412 0.588
0.377 0.623
0.000 1.000
0.000 1.000
0.465 0.535
0.591 0.409
0.465 0.535
0.377 0.623
0.412 0.588
0.733 0.267
0.377 0.623
0.733 0.267
0.591 0.409
0.377 0.623
0.465 0.535
0.377 0.623
0.465 0.535
0.412 0.588
0.465 0.535
0.412 0.588
1.000 0.000
0.465 0.535
0.465 0.535
0.377 0.623
0.377 0.623
0.465 0.535
0.377 0.623
0.377 0.623
0.591 0.409
0.377 0.623
0.000 1.000
1.000 0.000
0.412 0.588
0.000 1.000
0.377 0.623
0.377 0.623
0.000 1.000
0.377 0.623
0.412 0.588
0.733 0.267
0.591 0.409
0.000 1.000
0.377 0.623
0.377 0.623
0.591 0.409
0.377 0.623
0.733 0.267
0.465 0.535
0.412 0.588
0.867 0.133
1.000 0.000
0.900 0.100
0.377 0.623
0.132 0.868
0.412 0.588
0.867 0.133
0.000 1.000
0.867 0.133
0.591 0.409
0.377 0.623
0.591 0.409
0.377 0.623
0.465 0.535
0.733 0.267
0.465 0.535
0.591 0.409
0.591 0.409
1.000 0.000
0.377 0.623
0.377 0.623
0.733 0.267
0.867 0.133
0.591 0.409
0.412 0.588
0.465 0.535
0.132 0.868
0.132 0.868
0.377 0.623
0.377 0.623
0.132 0.868
0.465 0.535
0.412 0.588
0.591 0.409
0.377 0.623
0.733 0.267
0.377 0.623
0.000 1.000
0.867 0.133
0.377 0.623
0.591 0.409
0.377 0.623
0.412 0.588
0.000 1.000
0.591 0.409
1.000 0.000
0.591 0.409
0.465 0.535
0.465 0.535
0.412 0.588
0.132 0.868
0.412 0.588
0.377 0.623
0.412 0.588
0.412 0.588
0.000 1.000
0.465 0.535
0.377 0.623
0.377 0.623
0.733 0.267
0.377 0.623
0.867 0.133
0.733 0.267
0.733 0.267
0.000 1.000
0.377 0.623
0.377 0.623
0.132 0.868
0.000 1.000
0.377 0.623
0.412 0.588
0.465 0.535
0.412 0.588
0.377 0.623
0.733 0.267
0.591 0.409
0.377 0.623
0.412 0.588
0.465 0.535
0.591 0.409
0.867 0.133
0.591 0.409
0.412 0.588
0.412 0.588
0.000 1.000
0.412 0.588
0.867 0.133
0.132 0.868
0.377 0.623
0.377 0.623
0.132 0.868
0.465 0.535
0.733 0.267
0.377 0.623
0.733 0.267
0.867 0.133
0.733 0.267
0.132 0.868
0.591 0.409
0.733 0.267
0.867 0.133
0.667 0.333
0.465 0.535
0.000 1.000
0.733 0.267
0.412 0.588
0.867 0.133
1.000 0.000
0.591 0.409
0.867 0.133
0.377 0.623
0.733 0.267
0.591 0.409
0.412 0.588
0.412 0.588
0.412 0.588
0.377 0.623
0.412 0.588
0.867 0.133
0.000 1.000
0.412 0.588
0.465 0.535
0.733 0.267
0.465 0.535
0.000 1.000
0.465 0.535
0.465 0.535
0.867 0.133
0.591 0.409
0.465 0.535
1.000 0.000
0.412 0.588
0.733 0.267
0.465 0.535
0.412 0.588
0.412 0.588
0.733 0.267
0.591 0.409
0.733 0.267
0.000 1.000
0.412 0.588
0.377 0.623
0.132 0.868
0.132 0.868
0.591 0.409
0.733 0.267
0.132 0.868
0.412 0.588
0.377 0.623
0.412 0.588
0.000 1.000
0.132 0.868
0.412 0.588
0.465 0.535
0.465 0.535
0.733 0.267
0.465 0.535
0.733 0.267
0.733 0.267
0.377 0.623
0.733 0.267
0.377 0.623
0.867 0.133
0.465 0.535
0.000 1.000
0.377 0.623
0.412 0.588
0.465 0.535
0.377 0.623
0.733 0.267
0.132 0.868
0.412 0.588
0.377 0.623
0.000 1.000
0.465 0.535
0.733 0.267
0.465 0.535
0.667 0.333
0.412 0.588
0.465 0.535
0.867 0.133
0.132 0.868
0.591 0.409
0.132 0.868
0.377 0.623
0.377 0.623
0.000 1.000
0.591 0.409
0.377 0.623
0.132 0.868
0.377 0.623
0.412 0.588
0.465 0.535
0.465 0.535
0.000 1.000
0.412 0.588
0.132 0.868
0.132 0.868
0.132 0.868
0.591 0.409
0.412 0.588
0.412 0.588
0.867 0.133
0.132 0.868
0.132 0.868
0.867 0.133
0.132 0.868
0.591 0.409
0.377 0.623
0.591 0.409
1.000 0.000
0.377 0.623
0.465 0.535
0.733 0.267
0.591 0.409
0.377 0.623
0.377 0.623
0.377 0.623
0.867 0.133
0.733 0.267
0.591 0.409
0.465 0.535
0.000 1.000
0.867 0.133
0.412 0.588
0.465 0.535
0.412 0.588
0.412 0.588
0.591 0.409
0.377 0.623
0.377 0.623
0.412 0.588
0.867 0.133
0.867 0.133
0.412 0.588
0.377 0.623
0.000 1.000
0.867 0.133
0.412 0.588
0.377 0.623
0.867 0.133
0.465 0.535
0.465 0.535
0.412 0.588
0.412 0.588
0.412 0.588
0.377 0.623
0.591 0.409
0.465 0.535
0.465 0.535
0.132 0.868
0.733 0.267
0.591 0.409
0.412 0.588
0.900 0.100
0.000 1.000
0.867 0.133
0.377 0.623
0.000 1.000
0.412 0.588
0.377 0.623
0.000 1.000
0.465 0.535
0.377 0.623
0.377 0.623
0.465 0.535
0.465 0.535
0.591 0.409
1.000 0.000
0.465 0.535
0.412 0.588
0.377 0.623
0.465 0.535
0.867 0.133
0.465 0.535
0.591 0.409
0.132 0.868
0.667 0.333
0.377 0.623
0.000 1.000
0.733 0.267
0.591 0.409
0.733 0.267
0.000 1.000
0.377 0.623
0.465 0.535
0.733 0.267
0.377 0.623
0.591 0.409
0.465 0.535
0.591 0.409
0.132 0.868
0.867 0.133
0.132 0.868
0.132 0.868
0.000 1.000
0.377 0.623
0.377 0.623
0.377 0.623
0.733 0.267
0.377 0.623
0.465 0.535
0.412 0.588
0.867 0.133
0.733 0.267
0.867 0.133
0.867 0.133
0.412 0.588
0.132 0.868
0.465 0.535
0.412 0.588
0.465 0.535
0.000 1.000
0.000 1.000
0.591 0.409
0.733 0.267
0.867 0.133
0.733 0.267
0.733 0.267
0.132 0.868
0.132 0.868
0.867 0.133
0.867 0.133
1.000 0.000
0.591 0.409
0.000 1.000
0.132 0.868
0.377 0.623
0.900 0.100
0.591 0.409
0.412 0.588
0.000 1.000
0.132 0.868
0.465 0.535
0.733 0.267
0.000 1.000
0.733 0.267
0.000 1.000
0.900 0.100
0.000 1.000
0.377 0.623
0.412 0.588
0.733 0.267
0.465 0.535
1.000 0.000
0.377 0.623
0.377 0.623
0.733 0.267
0.591 0.409
0.412 0.588
0.000 1.000
0.867 0.133
0.591 0.409
1.000 0.000
0.465 0.535
0.733 0.267
0.412 0.588
1.000 0.000
0.377 0.623
0.867 0.133
0.412 0.588
0.591 0.409
0.377 0.623
0.377 0.623
0.465 0.535
0.867 0.133
0.465 0.535
0.412 0.588
0.377 0.623
0.733 0.267
0.465 0.535
0.132 0.868
0.377 0.623
0.412 0.588
0.867 0.133
0.733 0.267
0.867 0.133
0.000 1.000
0.867 0.133
1.000 0.000
0.733 0.267
0.000 1.000
0.733 0.267
0.867 0.133
0.000 1.000
0.132 0.868
0.412 0.588
0.377 0.623
0.377 0.623
0.733 0.267
0.591 0.409
0.867 0.133
0.733 0.267
0.132 0.868
0.377 0.623
1.000 0.000
0.867 0.133
0.733 0.267
0.867 0.133
0.132 0.868
0.465 0.535
0.412 0.588
0.733 0.267
0.412 0.588
0.733 0.267
0.132 0.868
0.867 0.133
0.377 0.623
0.465 0.535
0.591 0.409
0.867 0.133
0.465 0.535
0.377 0.623
0.900 0.100
0.000 1.000
0.377 0.623
0.900 0.100
0.412 0.588
0.412 0.588
0.377 0.623
0.591 0.409
0.465 0.535
0.867 0.133
